hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2008-01-01 00:00:00,0.0,0.0,0.0,-4.78,5.42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008-01-01 01:00:00,0.0,0.0,0.0,-5.33,5.42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2008-01-01 02:00:00,0.0,0.0,0.0,-5.87,7.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2008-01-01 03:00:00,0.0,0.0,0.0,-6.42,7.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2008-01-01 04:00:00,0.0,0.0,0.0,-6.98,7.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2008-01-01 05:00:00,0.0,0.0,0.0,-7.54,7.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2008-01-01 06:00:00,0.0,0.0,0.0,-8.1,7.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008-01-01 07:00:00,12.0,134.0,6.0,-8.48,7.67,0.0,0.6109378,122.439514,84.03755,0.0,,12.0,7.1639075,6.632478,0.018230697,0.21716042,6.543822,0.00035222532,0.12349043,6.264159,0.00011223054,6.2600064,6.260653,9019.273,-8.361056,5145.9585,5412.8926,5188.087,0.0,0.0,5187.9077,613.91077,0.0,0.0,0.0,1.5195173,5186.388,615.81995,5082.6606,5057.24755859375
9,2008-01-01 08:00:00,138.0,441.0,66.0,-8.86,7.74,0.0,9.413791,133.11206,73.83785,0.0,,138.0,122.531525,78.619644,0.209653,82.61966,77.56873,0.004050591,71.91003,74.253685,0.0012906512,143.2417,143.24953,206374.52,-6.1504507,198840.42,220477.89,203502.45,0.0,0.0,203290.97,698.6498,0.0,0.0,78.09105,0.0,203212.89,697.65497,199148.62,198152.875
10,2008-01-01 09:00:00,250.0,408.0,133.0,-9.23,7.74,0.0,16.70786,145.14267,65.18102,0.0,,250.0,170.82591,151.39153,0.37980616,144.09999,149.36789,0.0073380275,134.14012,142.98436,0.0023381363,271.5843,271.58072,391252.25,-4.09308,386018.5,424248.7,405048.4,0.0,0.0,404282.44,727.2958,0.0,0.0,1013.80646,0.0,403268.62,722.42365,395203.25,393227.21875
