hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2002-01-01 00:00:00,0.0,0.0,0.0,12.07,3.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002-01-01 01:00:00,0.0,0.0,0.0,11.86,3.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2002-01-01 02:00:00,0.0,0.0,0.0,11.84,3.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2002-01-01 03:00:00,0.0,0.0,0.0,11.81,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2002-01-01 04:00:00,0.0,0.0,0.0,11.78,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2002-01-01 05:00:00,0.0,0.0,0.0,11.63,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2002-01-01 06:00:00,0.0,0.0,0.0,11.48,2.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2002-01-01 07:00:00,12.0,0.0,12.0,11.32,2.33,0.0,4.871127,122.040955,83.49292,0.0,,12.0,0.0,11.552785,0.018230697,0.0,11.412058,0.0002098162,0.0,10.921977,6.685432e-05,10.703603,10.703664,14394.183,11.607705,10249.473,10667.931,10661.6,10661.6,10512.338,10511.857,1275.0103,0.0,0.0,0.30102685,0.0,10511.557,1000.0004,10353.883,10302.11328125
9,2002-01-01 08:00:00,82.0,0.0,82.0,12.36,2.33,0.0,14.814331,131.766,72.0526,0.0,,82.0,0.0,81.0763,0.12457643,0.0,80.08868,0.001433744,0.0,76.64934,0.00045683788,75.1168,75.11749,101017.02,14.379094,94256.6,97962.43,97858.49,97858.49,96488.46,96450.63,1318.122,0.0,0.0,27.871534,0.0,96422.76,1000.00006,94976.42,94501.5390625
10,2002-01-01 09:00:00,246.0,143.0,190.0,13.41,1.41,0.0,23.21414,143.36299,61.909374,0.0,,246.0,66.89669,197.78104,0.3737293,66.828964,195.37178,0.0043012323,63.074047,186.98172,0.0013705136,245.05598,245.0571,329547.7,20.414951,324441.84,329735.8,329524.0,329524.0,324909.75,324483.6,1320.9333,0.0,0.0,315.59775,0.0,324167.97,1000.0003,319305.47,317708.9375
11,2002-01-01 10:00:00,325.0,129.0,262.0,14.45,1.41,0.0,29.401474,157.14189,53.81364,0.0,,325.0,75.767105,275.1317,0.49374804,75.767105,271.7802,0.005682522,73.139015,260.10886,0.0018106379,326.58472,326.58545,439186.75,23.785437,435700.44,437541.25,437242.7,437242.7,431119.06,430361.66,1314.059,0.0,0.0,544.7381,0.0,429816.9,999.9997,423369.66,421252.8125
12,2002-01-01 11:00:00,403.0,267.0,259.0,15.33,1.41,0.0,32.640694,172.8133,48.803913,0.0,,403.0,175.8423,278.89502,0.6122475,175.8423,275.49768,0.0070463275,171.28548,263.6667,0.002245191,426.2553,426.25616,573221.4,27.514523,571788.44,566644.94,566201.6,566201.6,558268.6,557014.1,1321.6179,0.0,0.0,924.3402,0.0,556089.8,999.99945,547748.44,545009.6875
13,2002-01-01 12:00:00,502.0,459.0,257.0,16.22,1.42,0.0,32.425125,189.1973,47.86399,0.0,,502.0,306.5454,279.25934,0.7626508,306.5454,275.85757,0.008777311,299.0266,264.0111,0.002796739,551.7797,551.7805,742027.8,31.982048,742899.6,724491.8,723815.5,723815.5,713675.4,711576.25,1305.1171,0.0,0.0,1456.6362,0.0,710119.6,999.99994,699467.8,695970.5
14,2002-01-01 13:00:00,160.0,0.0,160.0,17.1,1.42,0.0,28.791636,204.68489,51.219265,0.0,,160.0,0.0,160.06364,0.24307595,0.0,158.11385,0.0027975494,0.0,151.32379,0.00089139096,148.29819,148.29909,199429.97,21.33628,192831.98,195400.95,195286.47,195286.47,192552.45,192402.3,1319.6658,0.0,0.0,111.13604,0.0,192291.16,1000.0002,189406.8,188459.765625
15,2002-01-01 14:00:00,335.0,440.0,168.0,16.9,1.42,0.0,22.29478,218.19904,58.12834,0.0,,335.0,232.43436,190.8389,0.5089403,196.09793,188.51422,0.005857369,187.33359,180.41864,0.0018663498,360.39902,360.40378,484663.78,27.19522,481877.7,478066.12,477729.62,477729.62,471038.0,470078.28,1276.309,0.0,0.0,593.9594,0.0,469484.3,999.9994,462442.03,460129.84375
16,2002-01-01 15:00:00,200.0,488.0,85.0,16.7,3.08,0.0,13.67418,229.54735,67.504005,0.0,,200.0,186.1299,101.58268,0.30384493,127.29998,100.345276,0.0034969368,117.02965,96.03603,0.0011142388,208.80547,208.8179,280813.5,22.040104,275069.72,277961.2,277788.44,277788.44,273898.6,273491.6,1144.9146,0.0,0.0,121.2539,0.0,273370.34,999.99963,269269.78,267923.4375
17,2002-01-01 16:00:00,29.0,210.0,12.0,16.49,3.08,0.0,3.5804229,239.08234,78.46033,0.0,,29.0,39.089516,17.869167,0.044057515,12.973679,17.651505,0.00050705584,10.379713,16.893473,0.00016156462,26.72788,26.72795,35940.867,17.173513,30547.738,31424.377,31403.023,31403.023,30963.38,30955.926,1024.0814,0.0,0.0,1.09703,10.041423,30944.787,927.98914,30480.615,30328.2109375
18,2002-01-01 17:00:00,0.0,0.0,0.0,15.6,3.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2002-01-01 18:00:00,0.0,0.0,0.0,14.7,2.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2002-01-01 19:00:00,0.0,0.0,0.0,13.8,2.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2002-01-01 20:00:00,0.0,0.0,0.0,13.6,2.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2002-01-01 21:00:00,0.0,0.0,0.0,13.4,0.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2002-01-01 22:00:00,0.0,0.0,0.0,13.2,0.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2002-01-01 23:00:00,0.0,0.0,0.0,13.07,0.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2002-01-02 00:00:00,0.0,0.0,0.0,12.93,0.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2002-01-02 01:00:00,0.0,0.0,0.0,12.79,0.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2002-01-02 02:00:00,0.0,0.0,0.0,12.62,0.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2002-01-02 03:00:00,0.0,0.0,0.0,12.45,3.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2002-01-02 04:00:00,0.0,0.0,0.0,12.28,3.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2002-01-02 05:00:00,0.0,0.0,0.0,12.05,3.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2002-01-02 06:00:00,0.0,0.0,0.0,11.82,2.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2002-01-02 07:00:00,24.0,0.0,24.0,11.6,2.65,0.0,4.8459096,121.90355,83.541336,0.0,,24.0,0.0,23.527092,0.036461394,0.0,23.240501,0.0004196324,0.0,22.242458,0.00013370864,21.797739,21.797863,29313.422,12.173564,24205.953,25322.271,25308.008,25308.008,24953.695,24951.111,1304.6608,0.0,0.0,1.8168266,0.0,24949.295,1000.0,24575.057,24452.1796875
33,2002-01-02 08:00:00,166.0,196.0,116.0,12.73,2.65,0.0,14.807573,131.62201,72.0832,0.0,,166.0,60.185333,121.859024,0.2521913,59.893536,120.37459,0.0029024575,53.15372,115.205215,0.00092481816,164.99266,164.9933,221879.08,17.071445,215475.94,221645.25,221510.19,221510.19,218408.8,218214.58,1315.1227,0.0,0.0,141.3778,0.0,218073.2,1000.0005,214802.11,213728.09375
34,2002-01-02 09:00:00,203.0,64.0,178.0,13.87,4.44,0.0,23.231161,143.21228,61.91593,0.0,,203.0,29.837523,183.4228,0.30840263,29.807316,181.18846,0.0035493907,28.131855,173.40749,0.0011309523,197.50966,197.51016,265609.1,18.488598,259674.23,265744.1,265586.1,265586.1,261867.16,261588.56,1316.8744,0.0,0.0,203.2301,0.0,261385.34,1000.0004,257464.56,256177.234375
