Proposal Data:  Preliminary Proposal V2 - CA - Cash 
 
Proposal Date:,,,2021-10-14 
Tax Type:,,,Before Tax 
Owner Sector:,,,Commercial 
Federal Income Tax Rate:,,,0.21 
State Income Tax Rate:,,,0.08 
Discount Rate:,,,0.05 
Electricity Escalation Rate:,,,0.03 
 
Proposal Summary Table,,,"IRR - Term","LCOE PV Generation","Net Present Value","Payback Period","Total Payments","Total Incentives","Net Payments","Electric Bill Savings - Term","Upfront Payment" 
Cash Purchase,,,0.2457,0.0218,5968484.7995,3.768,2542125.6,1125399.0031,1416726.5969,15833210.038,2542125.6 
 
 
 
Facility 1 Data:  California 
 
Project Cost and Utility Data,,,,,Solar PV System Data,,,,,Energy Storage System Data,,,,,FacilityLocation,,,,,Rate Schedules 
Total Project Cost,,,2542125.6,,Solar PV System Data,,,2542125.6,,Energy Storage System Data,,,0,,Street 1,,,4010 E 26th St,,Utility,,,City of Vernon Gas and Electric 
Total Incentive Savings,,,1125399.0031,,Net System Cost,,,1416726.5969,,Net System Cost,,,0,,Street 2,,,-,,Current Rate Schedule,,,"TOU-V (Effective Date: 8/1/21)" 
Net Project Cost,,,1416726.5969,,Power Rating (kW-DC),,,1345.04,,Total Energy Capacity (kWh),,,0,,City,,,Vernon,,New Rate Schedule,,,"TOU-V (Effective Date: 8/1/21)" 
Energy Consumption Year 1,,,29705957,,Power Rating (kW-AC),,,1147.4537,,Max Discharge Power (kW),,,0,,State,,,CA 
Net Energy Consumption Year 1,,,27374719,,Power Rating (W-DC),,,1345040,,2hr Power Rating (kW),,,0,,Postal Code,,,90058 
Utility Blended Cost Per kWh,,,0.1624,,Power Rating (W-AC),,,1147453.7,,Degradation Rate,,,0 
Average Load Factor,,,0.7157,,Degradation Rate,,,0.005,,ESS Energy Discharge Year 1,,,0 
Energy Cost Before,,,3138252.23,,PV Generation Year 1 (kWh),,,2331241,,ESS Energy Consumption  (loss) Year 1,,,0 
Energy Cost After,,,2881151.25,,PV kWh/kW-DC,,,1733.2131,,Blended Savings per kW,,,0 
Total Energy Savings,,,257100.98,,Blended Savings per kWh,,,0.1558,,Blended Savings per kWh,,,0 
Demand Cost Before,,,1673435.54,,PV Generation Percent Exported,,,0 
Demand Cost After,,,1567441.27 
Total Demand Savings,,,105994.27 
Electric Bill Cost Before,,,4824888.03 
Electric Bill Cost After,,,4461792.78 
Total Electric Bill Savings,,,363095.25 
 
PV Array Data,,,Array 1,Array 2,Array 3 
Cost,,,993932.1,715988.7,832204.8 
Power Rating (kW-DC),,,525.89,378.83,440.32 
Power Rating (kW-AC),,,448.6368,323.1799,375.637 
Degradation Rate,,,0.005,0.005,0.005 
Tilt,,,10,10,10 
Azimth,,,202.23,202.15,202.06 
 
 
 
Transaction 1 Data:  Cash Purchase 
 
Term,,,30,,30 Year Demand Savings,,,4622009.0727 
10 Year IRR,,,0.2062,,30 Year Energy Savings,,,11211200.9654 
20 Year IRR,,,0.2419,,30 Year Electric Bill Savings,,,15833210.038 
30 Year IRR,,,0.2457,,30 Year PV Generation,,,64866772.4635 
LCOE Before,,,0.2576,,30 Year ESS Discharge,,,0 
LCOE After,,,0.2398,,30 Year ESS Consumption (loss),,,0 
LCOE PV,,,0.0218,,Total Payments,,,2542125.6 
30 Year NPV,,,5968484.7995,,Total Incentives,,,1125399.0031 
Payback Period,,,3.768,,Net Payments,,,1416726.5969 
30 Year ROI,,,5.671 
 
Years,,,,Upfront,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25,Year 26,Year 27,Year 28,Year 29,Year 30,Totals 
Energy 
PV Generation,,,,0,2331240.6995,2319584.496,2307928.2925,2296272.089,2284615.8855,2272959.682,2261303.4785,2249647.275,2237991.0715,2226334.868,2214678.6645,2203022.461,2191366.2575,2179710.054,2168053.8505,2156397.647,2144741.4435,2133085.24,2121429.0365,2109772.833,2098116.6296,2086460.4261,2074804.2226,2063148.0191,2051491.8156,2039835.6121,2028179.4086,2016523.2051,2004867.0016,1993210.7981 
Cash 
Project Costs,,,,-2542125.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2542125.6 
