hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,1/1/2004 0:00,0,0,0,-1.16,1.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/1/2004 1:00,0,0,0,-1.41,1.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1/1/2004 2:00,0,0,0,-1.66,6.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1/1/2004 3:00,0,0,0,-1.9,6.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1/1/2004 4:00,0,0,0,-1.91,6.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1/1/2004 5:00,0,0,0,-1.92,5.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1/1/2004 6:00,0,0,0,-1.93,5.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1/1/2004 7:00,6,10,6,-1.47,5.24,0,0.77110153,122.44057,83.392944,0,,6,0,5.8007903,0.009115349,0,5.716592,9.55E-05,0,5.473502,3.04E-05,5.364062,5.364076,2211.2097,-1.3509334,1154.4209,1185.37,1185.37,1185.37,1168.7748,1168.7676,2008.803,0,0,0.021623692,0,1168.746,1000,1139.5273,1133.829712
9,1/1/2004 8:00,71,33,65,-1.02,7.89,0,9.617501,133.07939,73.214165,0,,71,10.371531,65.00227,0.10786495,6.7633953,64.05876,0.001130133,5.9305916,61.334755,0.000360098,65.920395,65.91393,27171.691,0.21501966,25025.193,27266.041,27266.041,27266.041,26884.316,26880.928,2121.1045,0,0,11.843229,0,26869.084,1000,26197.357,26066.37109
10,1/1/2004 9:00,214,299,127,-0.56,7.89,0,16.952114,145.0947,64.605644,0,,214,127.96007,142.14595,0.32511407,88.45955,140.08269,0.003406317,82.56883,134.12587,0.001085365,212.36188,212.31177,87518.06,3.4180543,85666.21,92069.664,92069.664,92069.664,90780.67,90737.2,2008.9818,0,0,130.19043,0,90607.016,1000.0005,88341.84,87900.13281
11,1/1/2004 10:00,171,29,160,1.23,7.89,0,22.239922,158.62978,58.286404,0,,171,15.277743,165.13103,0.2597874,12.941908,162.73413,0.002721871,12.358019,155.8141,0.000867277,164.80952,164.80286,67936.625,4.317887,65853.22,70631.63,70631.63,70631.63,69642.79,69620.68,2153.1394,0,0,79.771,0,69540.914,999.99994,67802.39,67463.375
12,1/1/2004 11:00,192,29,180,3.02,6.49,0,24.954012,173.39868,55.062572,0,,192,16.289001,183.10957,0.29169115,13.798559,180.45174,0.003056135,13.283754,172.77829,0.000973785,182.34175,182.33775,75165.68,6.754111,73159.21,77829.13,77829.13,77829.13,76739.53,76713.07,2161.2737,0,0,96.88525,0,76616.19,999.99994,74700.78,74327.28125
13,1/1/2004 12:00,70,0,70,4.82,6.49,0,24.760786,188.60968,55.48184,0,,70,0,68.30023,0.10634573,0,67.30885,0.001114216,0,64.44664,0.000355026,63.158054,63.157597,26035.217,6.11341,23903.219,25545.531,25545.531,25545.531,25187.893,25184.912,2123.352,0,0,10.364445,0,25174.547,1000,24545.184,24422.45703
14,1/1/2004 13:00,73,0,73,5.43,6.49,0,21.68567,203.25365,59.466614,0,,73,0,71.47171,0.110903405,0,70.434296,0.001161968,0,67.43918,0.000370241,66.09076,66.089676,27243.934,6.7834563,25096.168,26759.062,26759.062,26759.062,26384.436,26381.246,2149.1584,0,0,11.471752,0,26369.775,1000,25710.531,25581.97852
15,1/1/2004 14:00,82,0,82,6.05,9.26,0,16.099192,216.59723,66.372246,0,,82,0,81.5771,0.12457643,0,80.393005,0.001305225,0,76.97441,0.000415887,75.435326,75.43465,31096.535,7.3474903,28909.582,30759.967,30759.967,30759.967,30329.328,30325.088,2139.5193,0,0,15.099518,0,30309.988,1000,29552.238,29404.47656
