Proposal Data:  Lisle Preliminary Proposal V1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposal Date:,,,11/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type:,,,Before Tax ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner Sector:,,,Commercial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Income Tax Rate:,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Income Tax Rate:,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount Rate:,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Escalation Rate:,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposal Summary Table,,,IRR - Term,LCOE PV Generation,Net Present Value,Payback Period,Total Payments,Total Incentives,Net Payments,Electric Bill Savings - Term,Upfront Payment ,,,,,,,,,,,,,,,,,,,,,,,,
Cash Purchase,,,0.158,0.0045,592952.7902,4.5731,917370.6,847247.2918,70123.3082,1584362.974,917370.6,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility 1 Data:  Lisle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Cost and Utility Data,,,,,Solar PV System Data,,,,,Energy Storage System Data,,,,,FacilityLocation,,,,,Rate Schedules ,,,,,,,,,,,,,,,
Total Project Cost,,,917370.6,,Solar PV System Data,,,917370.6,,Energy Storage System Data,,,0,,Street 1,,,3300 Ogden Ave,,Utility,,,Commonwealth Edison ,,,,,,,,,,,,
Total Incentive Savings,,,847247.2918,,Net System Cost,,,70123.3082,,Net System Cost,,,0,,Street 2,,,-,,Current Rate Schedule,,,H74 - Lisle - Westside Tractor Sales (Effective Date: 6/24/21) ,,,,,,,,,,,,
Net Project Cost,,,70123.3082,,Power Rating (kW-DC),,,413.23,,Total Energy Capacity (kWh),,,0,,City,,,Lisle,,New Rate Schedule,,,H74 - Lisle - Westside Tractor Sales (Effective Date: 6/24/21) ,,,,,,,,,,,,
Energy Consumption Year 1,,,549574,,Power Rating (kW-AC),,,352.5266,,Max Discharge Power (kW),,,0,,State,,,IL ,,,,,,,,,,,,,,,,,
Net Energy Consumption Year 1,,,-4975,,Power Rating (W-DC),,,413230,,2hr Power Rating (kW),,,0,,Postal Code,,,60532,,,,,,,,,,,,,,,,,
Utility Blended Cost Per kWh,,,0.096,,Power Rating (W-AC),,,352526.6,,Degradation Rate,,,0,,,,,,,,,,,,,,,,,,,,,,
Average Load Factor,,,0.5264,,Degradation Rate,,,0.005,,ESS Energy Discharge Year 1,,,0,,,,,,,,,,,,,,,,,,,,,,
Energy Cost Before,,,33811.98,,PV Generation Year 1 (kWh),,,554550,,ESS Energy Consumption  (loss) Year 1,,,0,,,,,,,,,,,,,,,,,,,,,,
Energy Cost After,,,-248.75,,PV kWh/kW-DC,,,1341.9887,,Blended Savings per kW,,,0,,,,,,,,,,,,,,,,,,,,,,
Total Energy Savings,,,34060.73,,Blended Savings per kWh,,,0.0655,,Blended Savings per kWh,,,0,,,,,,,,,,,,,,,,,,,,,,
Demand Cost Before,,,11068.66,,PV Generation Percent Exported,,,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand Cost After,,,8795.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Demand Savings,,,2272.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Bill Cost Before,,,52750.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Bill Cost After,,,16416.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Electric Bill Savings,,,36333.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV Array Data,,,Array 1,Array 2,Array 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,,,111688.2,320745.6,484936.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Rating (kW-DC),,,50.31,144.48,218.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Rating (kW-AC),,,42.9195,123.2559,186.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degradation Rate,,,0.005,0.005,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilt,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimth,,,176.56,176.55,176.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction 1 Data:  Cash Purchase ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,,,30,,30 Year Demand Savings,,,99102.9758,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Year IRR,,,0.1129,,30 Year Energy Savings,,,1485259.562,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Year IRR,,,0.151,,30 Year Electric Bill Savings,,,1584362.974,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Year IRR,,,0.158,,30 Year PV Generation,,,15430334.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCOE Before,,,0.1522,,30 Year ESS Discharge,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCOE After,,,0.0516,,30 Year ESS Consumption (loss),,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCOE PV,,,0.0045,,Total Payments,,,917370.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Year NPV,,,592952.7902,,Total Incentives,,,847247.2918,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payback Period,,,4.5731,,Net Payments,,,70123.3082,,,,,,,,,,,,,,,,,,,,,,,,,,,
